,Date and time (UTC),Air Temperature (ºC),Market Price (EUR),Total electricity consumption (Wh),Pmpp FranceWatts panel (Wh)
17260,2017-07-09 14:00:00+00:00,27.447999999999997,31.28,11116.583333333332,27.457583333333332
17261,2017-07-09 14:30:00+00:00,24.599666666666668,31.28,10435.083333333332,12.021249999999998
17262,2017-07-09 15:00:00+00:00,23.384333333333334,33.8,10018.999999999998,18.680333333333337
17263,2017-07-09 15:30:00+00:00,22.745666666666665,33.8,10559.5,18.739166666666666
17264,2017-07-09 16:00:00+00:00,23.128666666666664,36.75,10479.083333333332,14.406083333333335
17265,2017-07-09 16:30:00+00:00,23.807,36.75,10031.666666666668,9.560583333333334
17266,2017-07-09 17:00:00+00:00,24.123666666666665,40.53,10096.833333333332,4.199333333333333
17267,2017-07-09 17:30:00+00:00,24.185666666666666,40.53,10504.75,2.8305
17268,2017-07-09 18:00:00+00:00,23.735666666666663,40.53,10784.833333333332,0.7926666666666666
17269,2017-07-09 18:30:00+00:00,21.582333333333327,40.53,10546.499999999998,1.1160833333333333
17270,2017-07-09 19:00:00+00:00,19.888333333333332,40.59,10032.916666666664,0.15066666666666664
17271,2017-07-09 19:30:00+00:00,19.524666666666665,40.59,10678.083333333332,0.02683333333333333
17272,2017-07-09 20:00:00+00:00,19.329333333333334,42.28,10601.0,0.0
17273,2017-07-09 20:30:00+00:00,18.904666666666667,42.28,9889.583333333334,0.0
17274,2017-07-09 21:00:00+00:00,18.943,40.08,9981.166666666666,0.0
17275,2017-07-09 21:30:00+00:00,19.130333333333336,40.08,10146.083333333332,0.0
17276,2017-07-09 22:00:00+00:00,19.25466666666667,32.76,9482.083333333332,0.0
17277,2017-07-09 22:30:00+00:00,19.109333333333332,32.76,9198.916666666666,0.0
17278,2017-07-09 23:00:00+00:00,19.019666666666666,29.92,9270.166666666666,0.0
17279,2017-07-09 23:30:00+00:00,18.90433333333333,29.92,9227.333333333334,0.0
17280,2017-07-10 00:00:00+00:00,18.645666666666667,29.44,9704.166666666666,0.0
17281,2017-07-10 00:30:00+00:00,18.37433333333333,29.44,9668.75,0.0
17282,2017-07-10 01:00:00+00:00,18.187333333333335,29.59,9848.25,0.0
17283,2017-07-10 01:30:00+00:00,17.898666666666667,29.59,9926.25,0.0
17284,2017-07-10 02:00:00+00:00,17.389,29.31,9011.666666666666,0.0
17285,2017-07-10 02:30:00+00:00,17.028666666666666,29.31,8791.583333333332,0.0
17286,2017-07-10 03:00:00+00:00,16.905333333333335,30.6,8840.916666666666,0.0
17287,2017-07-10 03:30:00+00:00,16.91333333333333,30.6,9208.749999999998,0.0
17288,2017-07-10 04:00:00+00:00,16.784333333333333,38.03,9057.75,0.68675
17289,2017-07-10 04:30:00+00:00,16.65033333333333,38.03,9146.583333333332,0.7343333333333332
17290,2017-07-10 05:00:00+00:00,16.296000000000003,44.03,15212.999999999998,0.31508333333333327
17291,2017-07-10 05:30:00+00:00,15.938333333333333,44.03,15207.583333333334,1.174
17292,2017-07-10 06:00:00+00:00,15.897666666666666,50.07,15480.166666666664,7.734083333333333
17293,2017-07-10 06:30:00+00:00,16.347333333333335,50.07,15773.666666666666,13.290333333333331
17294,2017-07-10 07:00:00+00:00,16.356666666666666,50.0,17445.916666666664,9.584416666666666
17295,2017-07-10 07:30:00+00:00,16.550666666666668,50.0,18771.333333333332,15.19608333333333
17296,2017-07-10 08:00:00+00:00,16.758666666666667,49.93,17908.83333333333,19.222083333333334
17297,2017-07-10 08:30:00+00:00,17.205000000000002,49.93,18788.333333333332,25.58866666666667
17298,2017-07-10 09:00:00+00:00,18.279666666666667,49.92,18653.833333333332,45.97716666666667
17299,2017-07-10 09:30:00+00:00,19.242333333333335,49.92,17470.499999999996,48.20716666666666
17300,2017-07-10 10:00:00+00:00,19.589499999999997,48.86,17816.25,64.16
17301,2017-07-10 10:30:00+00:00,20.116666666666667,48.86,17137.416666666664,35.69291666666666
17302,2017-07-10 11:00:00+00:00,19.925333333333334,47.8,17600.916666666664,15.185916666666664
17303,2017-07-10 11:30:00+00:00,19.99433333333333,47.8,17402.333333333332,23.362916666666663
17304,2017-07-10 12:00:00+00:00,19.908666666666665,45.27,18539.0,20.775666666666666
17305,2017-07-10 12:30:00+00:00,19.278,45.27,17353.25,9.933916666666667
17306,2017-07-10 13:00:00+00:00,18.249000000000002,43.99,18610.25,52.027
17307,2017-07-10 13:30:00+00:00,19.03833333333333,43.99,19194.416666666668,23.404416666666663
17308,2017-07-10 14:00:00+00:00,17.876,40.65,18073.499999999996,41.02466666666666
17309,2017-07-10 14:30:00+00:00,19.442333333333334,40.65,18162.916666666664,83.07225
17310,2017-07-10 15:00:00+00:00,20.377666666666666,40.95,19017.666666666668,58.995916666666666
17311,2017-07-10 15:30:00+00:00,20.889333333333337,40.95,18046.166666666668,31.987249999999996
17312,2017-07-10 16:00:00+00:00,20.255,41.62,16055.833333333332,7.690249999999999
17313,2017-07-10 16:30:00+00:00,19.356,41.62,14085.083333333332,17.517916666666665
17314,2017-07-10 17:00:00+00:00,18.903333333333332,42.97,13311.333333333334,19.284416666666665
17315,2017-07-10 17:30:00+00:00,18.350333333333335,42.97,12153.916666666664,7.848999999999999
17316,2017-07-10 18:00:00+00:00,18.340666666666667,40.21,11994.916666666666,7.8309999999999995
17317,2017-07-10 18:30:00+00:00,18.458666666666666,40.21,11755.916666666666,5.140416666666667
17318,2017-07-10 19:00:00+00:00,18.585666666666665,38.86,11161.333333333332,3.394166666666666
17319,2017-07-10 19:30:00+00:00,18.118666666666666,38.86,8721.5,0.4701666666666667
17320,2017-07-10 20:00:00+00:00,17.755666666666666,39.92,8836.583333333332,0.0
17321,2017-07-10 20:30:00+00:00,17.769666666666666,39.92,8906.916666666668,0.0
17322,2017-07-10 21:00:00+00:00,17.55633333333333,33.45,8899.833333333332,0.0
17323,2017-07-10 21:30:00+00:00,17.277,33.45,9104.583333333332,0.0
17324,2017-07-10 22:00:00+00:00,16.983,30.93,9007.166666666666,0.0
